geo_id,race_eth,pop,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
98059,Multi/Other,1816.2209,591,,0,,31125,562,1.80562249
98059,NHPI,231.893,97,,0,0,560,85,15.17857143
98059,Unknown,,434,,0,0,14982,383,2.556401015
98059,White,21373.0454,3873,117,17,58,34566,3491,10.09951976
98065,AIAN,114.7266,29,,0,0,131,24,18.32061069
98065,Asian,1940.2791,356,,,,2753,314,11.40573919
98065,Black,157.1188,52,0,0,0,410,43,10.48780488
98065,Hispanic,998.6503,176,,0,,937,141,15.04802561
98065,Multi/Other,717.3398,135,,,0,5395,120,2.224281742
98065,NHPI,17.4557,18,,0,0,94,17,18.08510638
98065,Unknown,,286,,0,0,7702,186,2.414957154
98065,White,11661.1256,1951,37,,17,16316,1539,9.432458936
98068,Asian,0.0766,,0,0,0,,,
98068,Black,0.0026,,0,0,0,,,
98068,Hispanic,0.1055,,,,0,,,
98068,NHPI,0.0074,,0,0,0,,,
98068,White,13.4978,,0,0,0,27,,
98070,AIAN,53.8479,,,0,0,92,,
98070,Asian,259.7753,30,,0,0,365,25,6.849315068
98070,Black,104.0388,10,0,0,0,321,,
98070,Hispanic,581.4755,102,,0,,468,64,13.67521368
98070,Multi/Other,380.8577,36,0,0,0,5809,22,0.378722672
98070,NHPI,10.2192,,0,0,0,25,,
98070,Unknown,,73,0,0,0,3721,57,1.531846278
98070,White,9404.5305,958,27,,,15203,659,4.334670789
98072,AIAN,93.1641,10,,0,0,148,11,7.432432432
98072,Asian,2797.3293,521,,,,5233,477,9.115230269
98072,Black,305.9952,69,,0,,687,57,8.296943231
98072,Hispanic,1661.3285,368,,0,,2214,334,15.08581752
98072,Multi/Other,940.3284,202,,,,8434,189,2.240929571
98072,NHPI,69.4046,21,0,0,0,154,20,12.98701299
98072,Unknown,,263,0,0,0,12097,233,1.92609738
98072,White,18696.4231,2727,102,24,45,26860,2360,8.78629933
98074,AIAN,71.9114,21,,0,0,70,10,14.28571429
98074,Asian,6865.9451,1490,16,0,,17776,1414,7.954545455
98074,Black,340.252,67,,0,0,586,56,9.556313993
98074,Hispanic,1408.3029,245,,0,,2075,224,10.79518072
98074,Multi/Other,1230.3316,401,,,,16314,393,2.408973887
98074,NHPI,35.9115,22,,0,,212,22,10.37735849
98074,Unknown,,181,,0,0,10034,180,1.793900737
98074,White,19104.8241,2221,49,20,23,28817,2039,7.075684492
98075,AIAN,50.3486,16,0,0,0,128,13,10.15625
98075,Asian,6332.0582,1484,11,,,14649,1411,9.632056796
98075,Black,249.1657,90,,,0,624,83,13.30128205
98075,Hispanic,1096.5448,270,,,,1753,248,14.14717627
98075,Multi/Other,891.9531,351,,,,14972,337,2.250868287
98075,NHPI,53.8795,16,0,0,0,120,17,14.16666667
98075,Unknown,,186,,0,,7644,165,2.15855573
98075,White,15901.5212,2112,43,18,23,24745,1892,7.645989089
98077,AIAN,55.6393,,,0,0,43,,
98077,Asian,894.5532,205,,0,,2074,191,9.209257473
98077,Black,136.9241,20,0,0,0,157,20,12.7388535
98077,Hispanic,702.3786,81,,0,0,620,70,11.29032258
98077,Multi/Other,535.8596,102,,0,,4826,95,1.968503937
98077,NHPI,32.4513,,0,0,0,42,,
98077,Unknown,,115,0,0,0,6298,112,1.778342331
98077,White,11942.6762,1341,39,,18,15660,1176,7.509578544
98092,AIAN,1354.8509,823,36,,13,3434,809,23.55853232
98092,Asian,6413.9796,1773,61,14,,11016,1656,15.03267974
98092,Black,2142.4399,990,44,,12,5578,925,16.58300466
98092,Hispanic,4793.3314,2073,61,,14,7426,1956,26.33988688
98092,Multi/Other,2366.5666,803,27,,,24492,774,3.160215581
98092,NHPI,446.5149,445,36,,,2090,418,20
98092,Unknown,,574,0,0,,14219,524,3.68520993
98092,White,30125.0178,5440,264,53,81,39014,4942,12.66724765
98101,AIAN,235.5622,61,,,,581,56,9.638554217
98101,Asian,2567.4561,1092,17,,,14072,1051,7.468732234
98101,Black,1643.5502,368,35,,33,4798,351,7.315548145
98101,Hispanic,1356.7919,404,13,,13,4437,388,8.744647284
98101,Multi/Other,648.6107,220,,0,,15743,214,1.359334307
98101,NHPI,86.8474,33,,0,0,408,32,7.843137255
98101,Unknown,,271,,0,0,24067,248,1.030456642
98101,White,9913.0958,1736,101,27,59,32137,1644,5.115598842
98102,AIAN,135.5048,34,0,0,0,321,37,11.52647975
98102,Asian,3105.4397,762,,0,,10587,741,6.999149901
98102,Black,912.5033,224,,0,,2914,212,7.275223061
98102,Hispanic,2118.9066,576,,0,,5361,557,10.38985264
98102,Multi/Other,1295.3659,352,,,,30278,346,1.142743906
98102,NHPI,90.3225,31,,0,0,304,31,10.19736842
98102,Unknown,,195,0,0,0,15174,188,1.238961381
98102,White,20312.4313,3685,38,,21,56604,3509,6.199208536
98103,AIAN,251.3713,75,,0,,743,64,8.613728129
98103,Asian,5362.9134,1330,11,,,19915,1280,6.427316093
98103,Black,1588.1164,423,14,,,4440,390,8.783783784
98103,Hispanic,3422.8608,873,15,,,9193,842,9.159142826
98103,Multi/Other,2786.2314,657,,0,,64324,635,0.987189851
98103,NHPI,146.088,80,,,,837,80,9.557945042
98103,Unknown,,413,0,0,,28494,392,1.375728223
98103,White,40061.0682,8034,92,31,54,134830,7622,5.653044575
98104,AIAN,295.8085,121,17,,,1984,110,5.544354839
98104,Asian,4953.4002,863,48,14,12,10049,831,8.26947955
98104,Black,3195.7024,914,67,11,52,11905,795,6.677866443
98104,Hispanic,1631.1767,473,27,,15,4355,431,9.896670494
98104,Multi/Other,577.4971,235,15,,,22516,216,0.959317818
98104,NHPI,75.1944,47,,,,429,49,11.42191142
98104,Unknown,,236,,0,,12108,203,1.676577469
98104,White,7440.5548,1906,127,28,93,28675,1674,5.837837838
98105,AIAN,166.0808,74,,,,999,77,7.707707708
98105,Asian,12740.4501,2743,,,,40550,2699,6.655980271
